Year,Region,Plastic_Type,Packaging_Type,Flex_Class,Waste_Generated_tonnes,Collected_tonnes,Reused_tonnes,Recycled_tonnes,Recovered_tonnes,Landfilled_tonnes,Burned_tonnes,Leaked_tonnes,Collection_Cost_GHS,Recycling_Value_GHS,Carbon_Emission_tCO2e,Leakage_Risk_Score,Circularity_Index
2019,Greater Accra,PET,Bottles,Rigid,12186.35,9658.99,1621.16,5383.19,116.91,3138.22,1618.31,308.56,2494496.49,4844871.0,26809.97,0.46,75.0
2019,Greater Accra,PET,Containers,Rigid,6780.88,5394.1,718.73,2302.47,110.02,2348.76,1021.68,279.22,1183181.56,2072223.0,14917.94,0.2,67.64
2019,Greater Accra,PET,Sachets,Flexible,15335.56,10289.0,90.18,883.59,661.81,4459.97,4201.49,5038.52,2636611.3,795231.0,33738.23,2.83,14.43
2019,Greater Accra,PET,Films,Flexible,7661.32,5175.82,6.73,1002.11,487.15,2342.94,1841.72,1980.67,1435635.81,901899.0,16854.9,2.53,29.55
2019,Greater Accra,PET,Pouches,Flexible,6933.06,5021.45,3.45,570.31,237.02,2446.02,2230.62,1445.64,1233988.02,513279.0,15252.73,1.77,25.65
2019,Greater Accra,HDPE,Bottles,Rigid,12306.57,9430.15,1817.57,5271.84,196.18,3191.74,1254.18,575.06,1229713.03,4217472.0,23382.48,0.29,74.86
2019,Greater Accra,HDPE,Containers,Rigid,6599.71,4558.44,605.7,1957.73,110.29,2337.5,1161.18,427.31,625174.77,1566184.0,12539.45,1.13,63.0
2019,Greater Accra,HDPE,Sachets,Flexible,14235.06,9677.1,1.6,1209.14,792.6,4657.38,3178.85,4395.49,1959101.0,967312.0,27046.61,2.7,20.82
2019,Greater Accra,HDPE,Films,Flexible,7240.19,5383.04,35.62,445.15,284.27,2641.82,2222.45,1610.88,1744422.19,356120.0,13756.36,2.2,23.77
2019,Greater Accra,HDPE,Pouches,Flexible,6236.45,4720.91,71.83,394.36,422.86,2294.88,1907.14,1145.38,594109.52,315488.0,11849.25,1.44,29.95
2019,Greater Accra,LDPE,Bottles,Rigid,9629.29,7178.27,845.05,3508.33,315.49,3154.94,1470.9,334.58,1239138.65,1754165.0,24073.23,0.0,68.56
2019,Greater Accra,LDPE,Containers,Rigid,6106.93,4117.19,588.63,1834.43,147.4,2262.21,784.7,489.56,1339274.85,917215.0,15267.33,0.84,63.83
2019,Greater Accra,LDPE,Sachets,Flexible,13533.97,10616.23,101.28,545.25,503.61,4517.79,3976.7,3889.34,1290922.85,272625.0,33834.92,2.88,16.15
2019,Greater Accra,LDPE,Films,Flexible,6269.7,4284.19,10.27,437.81,440.62,2116.95,1926.98,1337.07,872410.21,218905.0,15674.25,2.6,26.62
2019,Greater Accra,LDPE,Pouches,Flexible,6964.62,4790.04,47.64,286.45,247.91,2944.87,2449.75,988.0,631519.41,143225.0,17411.55,1.2,28.33
2019,Greater Accra,PP,Bottles,Rigid,10816.53,7419.43,722.56,3688.01,357.18,3899.21,1744.64,404.93,1295852.68,2212806.0,18388.1,0.6,65.98
2019,Greater Accra,PP,Containers,Rigid,5841.34,4350.9,493.19,1826.94,77.43,2165.0,813.26,465.52,562911.97,1096164.0,9930.28,0.89,63.24
2019,Greater Accra,PP,Sachets,Flexible,12426.15,8107.92,124.56,492.99,659.64,4528.4,3541.72,3078.84,2719784.72,295794.0,21124.45,2.12,21.47
2019,Greater Accra,PP,Films,Flexible,5809.28,3874.91,71.66,598.97,170.51,1934.42,1548.26,1485.46,937029.31,359382.0,9875.78,2.3,25.86
2019,Greater Accra,PP,Pouches,Flexible,5511.72,4324.4,77.88,340.44,236.37,2044.2,1863.78,949.05,1401234.8,204264.0,9369.92,2.0,28.69
2019,Greater Accra,Multilayer Laminate,Bottles,Rigid,9641.31,6388.53,634.99,1469.45,362.34,4616.19,2195.0,363.34,774060.9,440835.0,29888.06,0.04,55.74
2019,Greater Accra,Multilayer Laminate,Containers,Rigid,5679.83,4281.37,493.2,656.11,294.71,2644.44,1246.77,344.6,1153467.73,196833.0,17607.47,0.96,54.47
2019,Greater Accra,Multilayer Laminate,Sachets,Flexible,11604.63,8532.26,23.98,258.4,444.41,4490.41,3269.86,3117.57,2774441.02,77520.0,35974.35,2.82,16.48
2019,Greater Accra,Multilayer Laminate,Films,Flexible,5956.66,4320.93,49.86,207.94,193.29,2152.01,1655.82,1697.74,1159990.94,62382.0,18465.65,2.53,16.41
